iter	Accuracy	Logloss
350	0.8855828221	0.2781251234
351	0.8854294479	0.2778931579
352	0.8851226994	0.2776602052
353	0.8857361963	0.2774650916
354	0.8858895706	0.27719047
355	0.8860429448	0.2769906716
356	0.886196319	0.2768027921
357	0.8860429448	0.2766539185
358	0.8858895706	0.2763482839
359	0.8855828221	0.2761139594
360	0.886196319	0.2759621087
361	0.8865030675	0.2756681408
362	0.886809816	0.2753942715
363	0.886809816	0.2750306704
364	0.8871165644	0.2748576271
365	0.8871165644	0.2746256296
366	0.8871165644	0.2744398485
367	0.8872699387	0.274111198
368	0.8874233129	0.2738832757
369	0.8875766871	0.2737382634
370	0.8877300613	0.2735136258
371	0.8875766871	0.2734128692
372	0.8872699387	0.2732584232
373	0.8869631902	0.2730968242
374	0.886809816	0.2729509186
375	0.8871165644	0.2727298917
376	0.8872699387	0.2725766486
377	0.8875766871	0.272399022
378	0.888190184	0.2721463341
379	0.8884969325	0.2719005652
380	0.8883435583	0.2717522715
381	0.8883435583	0.2714985913
382	0.8886503067	0.2712388069
383	0.8886503067	0.2709691625
384	0.888803681	0.2707650279
385	0.888803681	0.2705164408
386	0.8883435583	0.2702854737
387	0.8884969325	0.2700801601
388	0.8884969325	0.2699074253
389	0.8886503067	0.2695656901
390	0.8892638037	0.269244887
391	0.8895705521	0.2689813069
392	0.8895705521	0.2688200057
393	0.8897239264	0.2685475226
394	0.8898773006	0.2682907452
395	0.8898773006	0.2679493604
396	0.8900306748	0.2677777694
397	0.8903374233	0.2674532363
398	0.8901840491	0.2671271809
399	0.8904907975	0.2669273902
400	0.8904907975	0.2667525673
401	0.8906441718	0.2665094739
402	0.890797546	0.2662510952
403	0.8911042945	0.2659277517
404	0.8911042945	0.2656467885
405	0.8911042945	0.2653191898
406	0.8917177914	0.2650765587
407	0.8915644172	0.26495809
408	0.8917177914	0.2648017082
409	0.8920245399	0.2645265015
410	0.8924846626	0.2642832583
411	0.8926380368	0.2640934267
412	0.8924846626	0.263899115
413	0.8923312883	0.2636186807
414	0.8926380368	0.2634487716
415	0.8923312883	0.2632602718
416	0.8923312883	0.2630050096
417	0.892791411	0.2628219031
418	0.892791411	0.2625787583
419	0.8932515337	0.2622982736
420	0.8932515337	0.2621291703
421	0.893404908	0.2619224128
422	0.893404908	0.2616358864
423	0.893404908	0.2614739277
424	0.8938650307	0.2611915726
425	0.8940184049	0.261090255
426	0.8941717791	0.2609366627
427	0.8941717791	0.2607725502
428	0.8943251534	0.2605900443
429	0.8944785276	0.260388766
430	0.8946319018	0.2602918517
431	0.8949386503	0.2601066569
432	0.8949386503	0.2599707563
433	0.895398773	0.2597959448
434	0.8957055215	0.2596543764
435	0.8957055215	0.2594989654
436	0.8958588957	0.2592585454
437	0.8958588957	0.2591113206
438	0.8957055215	0.2589781852
439	0.8955521472	0.2588238645
440	0.8957055215	0.2586086925
441	0.8960122699	0.2584184037
442	0.8960122699	0.2582730948
443	0.8961656442	0.2581336579
444	0.8964723926	0.2579844487
445	0.8964723926	0.2577113659
446	0.8966257669	0.2576729025
447	0.8967791411	0.2575304209
448	0.8969325153	0.2573202587
449	0.8970858896	0.2571276635
450	0.8970858896	0.2569136806
451	0.8970858896	0.2567435296
452	0.8975460123	0.2564893891
453	0.8967791411	0.256227279
454	0.8970858896	0.2560424105
455	0.898006135	0.2558716331
456	0.8983128834	0.255738318
457	0.8981595092	0.2555739299
458	0.8983128834	0.2554510035
459	0.8986196319	0.255210206
460	0.8986196319	0.2550320178
461	0.8990797546	0.2549370533
462	0.8992331288	0.2547850702
463	0.8992331288	0.2546398617
464	0.8993865031	0.25448385
465	0.8996932515	0.2542159012
466	0.8998466258	0.254097621
467	0.9001533742	0.2539418493
468	0.9001533742	0.2537889461
469	0.9003067485	0.2535898234
470	0.9	0.2534185095
471	0.8998466258	0.2532829714
472	0.9001533742	0.2531118402
473	0.9	0.2529562213
474	0.8998466258	0.2527985647
475	0.8998466258	0.2525978037
476	0.9	0.2524885771
477	0.9001533742	0.2522870465
478	0.9003067485	0.2521897711
479	0.9003067485	0.252063653
480	0.9003067485	0.251880876
481	0.9004601227	0.251688471
482	0.9006134969	0.2515537443
483	0.9006134969	0.2513395242
484	0.9009202454	0.2512960643
485	0.9012269939	0.2510865803
486	0.9016871166	0.2508042144
487	0.9018404908	0.2506813451
488	0.901993865	0.2504564575
489	0.901993865	0.2502912419
490	0.9021472393	0.2502031474
491	0.9021472393	0.250111568
492	0.9024539877	0.249922066
493	0.902607362	0.2497231782
494	0.9024539877	0.2495470973
495	0.902607362	0.249386855
496	0.9027607362	0.2491900609
497	0.9029141104	0.2489516626
498	0.9027607362	0.2488153844
499	0.9029141104	0.2485486205
